bird_name,scientific_name
Townsend's Storm-Petrel,Hydrobates socorroensis
Ashy Storm-Petrel,Hydrobates homochroa
Wedge-rumped Storm-Petrel,Hydrobates tethys
Black Storm-Petrel,Hydrobates melania
Least Storm-Petrel,Hydrobates microsoma
Northern Fulmar,Fulmarus glacialis
Gray-faced Petrel,Pterodroma gouldi
Mottled Petrel,Pterodroma inexpectata
Cook's Petrel,Pterodroma cookii
Stejneger's Petrel,Pterodroma longirostris
Streaked Shearwater,Calonectris leucomelas
Cory's Shearwater,Calonectris diomedea
Pink-footed Shearwater,Ardenna creatopus
Flesh-footed Shearwater,Ardenna carneipes
Great Shearwater,Ardenna gravis
Wedge-tailed Shearwater,Ardenna pacifica
Buller's Shearwater,Ardenna bulleri
Sooty Shearwater,Ardenna grisea
Short-tailed Shearwater,Ardenna tenuirostris
Manx Shearwater,Puffinus puffinus
Newell's Shearwater,Puffinus newelli
Black-vented Shearwater,Puffinus opisthomelas
Wood Stork,Mycteria americana
Magnificent Frigatebird,Fregata magnificens
Red-footed Booby,Sula sula
Brown Booby,Sula leucogaster
Masked Booby,Sula dactylatra
Nazca Booby,Sula granti
Blue-footed Booby,Sula nebouxii
Anhinga,Anhinga anhinga
Brandt's Cormorant,Urile penicillatus
Pelagic Cormorant,Urile pelagicus
Double-crested Cormorant,Nannopterum auritum
Neotropic Cormorant,Nannopterum brasilianum
American White Pelican,Pelecanus erythrorhynchos
Brown Pelican,Pelecanus occidentalis
American Bittern,Botaurus lentiginosus
Least Bittern,Ixobrychus exilis
Yellow-crowned Night Heron,Nyctanassa violacea
Black-crowned Night Heron,Nycticorax nycticorax
Little Blue Heron,Egretta caerulea
Tricolored Heron,Egretta tricolor
Reddish Egret,Egretta rufescens
Snowy Egret,Egretta thula
Green Heron,Butorides virescens
Western Cattle Egret,Bubulcus ibis
Great Egret,Ardea alba
Great Blue Heron,Ardea herodias
White Ibis,Eudocimus albus
Glossy Ibis,Plegadis falcinellus
White-faced Ibis,Plegadis chihi
Roseate Spoonbill,Platalea ajaja
California Condor,Gymnogyps californianus
Black Vulture,Coragyps atratus
Turkey Vulture,Cathartes aura
Osprey,Pandion haliaetus
White-tailed Kite,Elanus leucurus
Swallow-tailed Kite,Elanoides forficatus
Golden Eagle,Aquila chrysaetos
Mississippi Kite,Ictinia mississippiensis
Northern Harrier,Circus hudsonius
Sharp-shinned Hawk,Accipiter striatus
Cooper's Hawk,Accipiter cooperii
American Goshawk,Accipiter atricapillus
Bald Eagle,Haliaeetus leucocephalus
Common Black Hawk,Buteogallus anthracinus
Harris's Hawk,Parabuteo unicinctus
Red-shouldered Hawk,Buteo lineatus
Broad-winged Hawk,Buteo platypterus
Swainson's Hawk,Buteo swainsoni
Zone-tailed Hawk,Buteo albonotatus
Red-tailed Hawk,Buteo jamaicensis
Rough-legged Hawk,Buteo lagopus
Ferruginous Hawk,Buteo regalis
Barn Owl,Tyto alba
Flammulated Owl,Psiloscops flammeolus
Western Screech-Owl,Megascops kennicottii
Great Horned Owl,Bubo virginianus
Northern Pygmy-Owl,Glaucidium gnoma
Burrowing Owl,Athene cunicularia
Spotted Owl,Strix occidentalis
Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus
Northern Saw-whet Owl,Aegolius acadicus
Belted Kingfisher,Megaceryle alcyon
Williamson's Sapsucker,Sphyrapicus thyroideus
Yellow-bellied Sapsucker,Sphyrapicus varius
Red-naped Sapsucker,Sphyrapicus nuchalis
Red-breasted Sapsucker,Sphyrapicus ruber
Lewis's Woodpecker,Melanerpes lewis
Acorn Woodpecker,Melanerpes formicivorus
Gila Woodpecker,Melanerpes uropygialis
Downy Woodpecker,Dryobates pubescens
Nuttall's Woodpecker,Dryobates nuttallii
Ladder-backed Woodpecker,Dryobates scalaris
Hairy Woodpecker,Dryobates villosus
White-headed Woodpecker,Dryobates albolarvatus
Northern Flicker,Colaptes auratus
Crested Caracara,Caracara plancus
American Kestrel,Falco sparverius
Merlin,Falco columbarius
Peregrine Falcon,Falco peregrinus
Prairie Falcon,Falco mexicanus
Rose-ringed Parakeet,Psittacula krameri
Monk Parakeet,Myiopsitta monachus
Yellow-chevroned Parakeet,Brotogeris chiriri
Red-crowned Parrot,Amazona viridigenalis
Lilac-crowned Parrot,Amazona finschi
Red-lored Parrot,Amazona autumnalis
Yellow-headed Parrot,Amazona oratrix
Mitred Parakeet,Psittacara mitratus
Red-masked Parakeet,Psittacara erythrogenys
Olive-sided Flycatcher,Contopus cooperi
Greater Pewee,Contopus pertinax
Western Wood-Pewee,Contopus sordidulus
Eastern Wood-Pewee,Contopus virens
Yellow-bellied Flycatcher,Empidonax flaviventris
Willow Flycatcher,Empidonax traillii
Least Flycatcher,Empidonax minimus
Hammond's Flycatcher,Empidonax hammondii
Gray Flycatcher,Empidonax wrightii
Dusky Flycatcher,Empidonax oberholseri
Western Flycatcher,Empidonax difficilis
Black Phoebe,Sayornis nigricans
Eastern Phoebe,Sayornis phoebe
Say's Phoebe,Sayornis saya
Vermilion Flycatcher,Pyrocephalus rubinus
Dusky-capped Flycatcher,Myiarchus tuberculifer
Ash-throated Flycatcher,Myiarchus cinerascens
Great Crested Flycatcher,Myiarchus crinitus
Brown-crested Flycatcher,Myiarchus tyrannulus
Sulphur-bellied Flycatcher,Myiodynastes luteiventris
Tropical Kingbird,Tyrannus melancholicus
Cassin's Kingbird,Tyrannus vociferans
Thick-billed Kingbird,Tyrannus crassirostris
Western Kingbird,Tyrannus verticalis
Eastern Kingbird,Tyrannus tyrannus
Scissor-tailed Flycatcher,Tyrannus forficatus
White-eyed Vireo,Vireo griseus
Bell's Vireo,Vireo bellii
Gray Vireo,Vireo vicinior
Hutton's Vireo,Vireo huttoni
Yellow-throated Vireo,Vireo flavifrons
Cassin's Vireo,Vireo cassinii
Blue-headed Vireo,Vireo solitarius
Plumbeous Vireo,Vireo plumbeus
Philadelphia Vireo,Vireo philadelphicus
Warbling Vireo,Vireo gilvus
Red-eyed Vireo,Vireo olivaceus
Yellow-green Vireo,Vireo flavoviridis
Loggerhead Shrike,Lanius ludovicianus
Black-throated Magpie-Jay,Calocitta colliei
Pinyon Jay,Gymnorhinus cyanocephalus
Steller's Jay,Cyanocitta stelleri
California Scrub-Jay,Aphelocoma californica
Clark's Nutcracker,Nucifraga columbiana
American Crow,Corvus brachyrhynchos
Common Raven,Corvus corax
Mountain Chickadee,Poecile gambeli
Oak Titmouse,Baeolophus inornatus
Verdin,Auriparus flaviceps
Horned Lark,Eremophila alpestris
Bank Swallow,Riparia riparia
Tree Swallow,Tachycineta bicolor
Violet-green Swallow,Tachycineta thalassina
Purple Martin,Progne subis
Northern Rough-winged Swallow,Stelgidopteryx serripennis
Barn Swallow,Hirundo rustica
Cliff Swallow,Petrochelidon pyrrhonota
Red-whiskered Bulbul,Pycnonotus jocosus
Dusky Warbler,Phylloscopus fuscatus
Bushtit,Psaltriparus minimus
Wrentit,Chamaea fasciata
Swinhoe's White-eye,Zosterops simplex
Warbling White-eye,Zosterops japonicus
Ruby-crowned Kinglet,Corthylio calendula
Golden-crowned Kinglet,Regulus satrapa
White-breasted Nuthatch,Sitta carolinensis
Pygmy Nuthatch,Sitta pygmaea
Red-breasted Nuthatch,Sitta canadensis
Brown Creeper,Certhia americana
Blue-gray Gnatcatcher,Polioptila caerulea
Black-tailed Gnatcatcher,Polioptila melanura
California Gnatcatcher,Polioptila californica
Rock Wren,Salpinctes obsoletus
Canyon Wren,Catherpes mexicanus
House Wren,Troglodytes aedon
Pacific Wren,Troglodytes pacificus
Winter Wren,Troglodytes hiemalis
Marsh Wren,Cistothorus palustris
Bewick's Wren,Thryomanes bewickii
Cactus Wren,Campylorhynchus brunneicapillus
American Dipper,Cinclus mexicanus
European Starling,Sturnus vulgaris
Gray Catbird,Dumetella carolinensis
Curve-billed Thrasher,Toxostoma curvirostre
Brown Thrasher,Toxostoma rufum
Bendire's Thrasher,Toxostoma bendirei
Gray Thrasher,Toxostoma cinereum
California Thrasher,Toxostoma redivivum
LeConte's Thrasher,Toxostoma lecontei
Crissal Thrasher,Toxostoma crissale
Sage Thrasher,Oreoscoptes montanus
Northern Mockingbird,Mimus polyglottos
Western Bluebird,Sialia mexicana
Mountain Bluebird,Sialia currucoides
Townsend's Solitaire,Myadestes townsendi
Varied Thrush,Ixoreus naevius
Gray-cheeked Thrush,Catharus minimus
Swainson's Thrush,Catharus ustulatus
Hermit Thrush,Catharus guttatus
Wood Thrush,Hylocichla mustelina
American Robin,Turdus migratorius
Rufous-backed Robin,Turdus rufopalliatus
Northern Wheatear,Oenanthe oenanthe
Bohemian Waxwing,Bombycilla garrulus
Cedar Waxwing,Bombycilla cedrorum
Gray Silky-flycatcher,Ptiliogonys cinereus
Phainopepla,Phainopepla nitens
Northern Red Bishop,Euplectes franciscanus
Scaly-breasted Munia,Lonchura punctulata
House Sparrow,Passer domesticus
White Wagtail,Motacilla alba
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Sprague's Pipit,Anthus spragueii
Evening Grosbeak,Coccothraustes vespertinus
House Finch,Haemorhous mexicanus
Purple Finch,Haemorhous purpureus
Cassin's Finch,Haemorhous cassinii
Common Redpoll,Acanthis flammea
Red Crossbill,Loxia curvirostra
Pine Siskin,Spinus pinus
Lesser Goldfinch,Spinus psaltria
Lawrence's Goldfinch,Spinus lawrencei
American Goldfinch,Spinus tristis
Lapland Longspur,Calcarius lapponicus
Chestnut-collared Longspur,Calcarius ornatus
Thick-billed Longspur,Rhynchophanes mccownii
Snow Bunting,Plectrophenax nivalis
Little Bunting,Emberiza pusilla
Cassin's Sparrow,Peucaea cassinii
Grasshopper Sparrow,Ammodramus savannarum
Chipping Sparrow,Spizella passerina
Clay-colored Sparrow,Spizella pallida
Black-chinned Sparrow,Spizella atrogularis
Brewer's Sparrow,Spizella breweri
Black-throated Sparrow,Amphispiza bilineata
Lark Sparrow,Chondestes grammacus
Lark Bunting,Calamospiza melanocorys
American Tree Sparrow,Spizelloides arborea
Fox Sparrow,Passerella iliaca
Dark-eyed Junco,Junco hyemalis
White-crowned Sparrow,Zonotrichia leucophrys
Golden-crowned Sparrow,Zonotrichia atricapilla
Harris's Sparrow,Zonotrichia querula
White-throated Sparrow,Zonotrichia albicollis
Sagebrush Sparrow,Artemisiospiza nevadensis
Bell's Sparrow,Artemisiospiza belli
Vesper Sparrow,Pooecetes gramineus
LeConte's Sparrow,Ammospiza leconteii
Nelson's Sparrow,Ammospiza nelsoni
Savannah Sparrow,Passerculus sandwichensis
Baird's Sparrow,Centronyx bairdii
Song Sparrow,Melospiza melodia
Lincoln's Sparrow,Melospiza lincolnii
Swamp Sparrow,Melospiza georgiana
Abert's Towhee,Melozone aberti
California Towhee,Melozone crissalis
Rufous-crowned Sparrow,Aimophila ruficeps
Green-tailed Towhee,Pipilo chlorurus
Spotted Towhee,Pipilo maculatus
Eastern Towhee,Pipilo erythrophthalmus
Yellow-breasted Chat,Icteria virens
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
Bobolink,Dolichonyx oryzivorus
Western Meadowlark,Sturnella neglecta
Orchard Oriole,Icterus spurius
Hooded Oriole,Icterus cucullatus
Streak-backed Oriole,Icterus pustulatus
Bullock's Oriole,Icterus bullockii
Baltimore Oriole,Icterus galbula
Black-backed Oriole,Icterus abeillei
Scott's Oriole,Icterus parisorum
Red-winged Blackbird,Agelaius phoeniceus
Tricolored Blackbird,Agelaius tricolor
Bronzed Cowbird,Molothrus aeneus
Brown-headed Cowbird,Molothrus ater
Rusty Blackbird,Euphagus carolinus
Brewer's Blackbird,Euphagus cyanocephalus
Common Grackle,Quiscalus quiscula
Great-tailed Grackle,Quiscalus mexicanus
Ovenbird,Seiurus aurocapilla
Worm-eating Warbler,Helmitheros vermivorum
Louisiana Waterthrush,Parkesia motacilla
Northern Waterthrush,Parkesia noveboracensis
Golden-winged Warbler,Vermivora chrysoptera
Blue-winged Warbler,Vermivora cyanoptera
Black-and-white Warbler,Mniotilta varia
Prothonotary Warbler,Protonotaria citrea
Tennessee Warbler,Leiothlypis peregrina
Orange-crowned Warbler,Leiothlypis celata
Lucy's Warbler,Leiothlypis luciae
Nashville Warbler,Leiothlypis ruficapilla
Virginia's Warbler,Leiothlypis virginiae
Connecticut Warbler,Oporornis agilis
MacGillivray's Warbler,Geothlypis tolmiei
Mourning Warbler,Geothlypis philadelphia
Kentucky Warbler,Geothlypis formosa
Common Yellowthroat,Geothlypis trichas
Hooded Warbler,Setophaga citrina
American Redstart,Setophaga ruticilla
Cape May Warbler,Setophaga tigrina
Cerulean Warbler,Setophaga cerulea
Northern Parula,Setophaga americana
Magnolia Warbler,Setophaga magnolia
Bay-breasted Warbler,Setophaga castanea
Blackburnian Warbler,Setophaga fusca
Yellow Warbler,Setophaga petechia
Chestnut-sided Warbler,Setophaga pensylvanica
Blackpoll Warbler,Setophaga striata
Black-throated Blue Warbler,Setophaga caerulescens
Palm Warbler,Setophaga palmarum
Pine Warbler,Setophaga pinus
Yellow-rumped Warbler,Setophaga coronata
Yellow-throated Warbler,Setophaga dominica
Prairie Warbler,Setophaga discolor
Grace's Warbler,Setophaga graciae
Black-throated Gray Warbler,Setophaga nigrescens
Townsend's Warbler,Setophaga townsendi
Hermit Warbler,Setophaga occidentalis
Black-throated Green Warbler,Setophaga virens
Canada Warbler,Cardellina canadensis
Wilson's Warbler,Cardellina pusilla
Red-faced Warbler,Cardellina rubrifrons
Painted Redstart,Myioborus pictus
Hepatic Tanager,Piranga flava
Summer Tanager,Piranga rubra
Scarlet Tanager,Piranga olivacea
Western Tanager,Piranga ludoviciana
Pyrrhuloxia,Cardinalis sinuatus
Rose-breasted Grosbeak,Pheucticus ludovicianus
Black-headed Grosbeak,Pheucticus melanocephalus
Blue Grosbeak,Passerina caerulea
Lazuli Bunting,Passerina amoena
Indigo Bunting,Passerina cyanea
Varied Bunting,Passerina versicolor
Painted Bunting,Passerina ciris
Dickcissel,Spiza americana
Cinnamon-rumped Seedeater,Sporophila torqueola
